"","Narrativity_Overall.z.diff","Narrativity_Staging.z.diff","Narrativity_PlotProg.z.diff","Narrativity_CogTension.z.diff","Narrativity_Overall.z.frec","Narrativity_Staging.z.frec","Narrativity_PlotProg.z.frec","Narrativity_CogTension.z.frec","Narrativity_Overall.lf.diff","Narrativity_Staging.lf.diff","Narrativity_PlotProg.lf.diff","Narrativity_CogTension.lf.diff","Narrativity_Overall.lf.frech","Narrativity_Staging.lf.frech","Narrativity_PlotProg.lf.frech","Narrativity_CogTension.lf.frech"
"Narrativity_Overall.z.diff",1,0.777460637348653,0.775423780454029,0.593880630942737,0.904865981502435,0.685379714064454,0.689209291241254,0.530300376264125,0.980132152714606,0.760686904231979,0.760466492946299,0.551668016745596,0.737207313085566,0.506288326597557,0.512978188074707,0.495056398008805
"Narrativity_Staging.z.diff",0.777460637348653,1,0.585853552246538,0.116194754273022,0.73866246774709,0.895656326009408,0.535302119673251,0.105653567690051,0.766396774189873,0.980709712859304,0.568239200612495,0.0921061959821864,0.578499461368489,0.684472412953785,0.397419326741696,0.0994291045541124
"Narrativity_PlotProg.z.diff",0.775423780454029,0.585853552246538,1,0.104558295535958,0.738330223003984,0.532443325091103,0.900368820032209,0.0966657696161509,0.745768232788295,0.579623596473025,0.973077738615608,0.0820207567112778,0.587415034206873,0.408421419111899,0.696665785471519,0.091973053983709
"Narrativity_CogTension.z.diff",0.593880630942737,0.116194754273022,0.104558295535958,1,0.47108559945083,0.0746705291776931,0.0688441332706643,0.888130663714249,0.591354071080743,0.105628450089181,0.115421337404384,0.957456240145176,0.418235483480919,0.0202055247773112,0.0274491067536114,0.826763260486933
"Narrativity_Overall.z.frec",0.904865981502435,0.73866246774709,0.738330223003984,0.47108559945083,1,0.786198665929547,0.789758946655497,0.525248617154358,0.865518416431585,0.747245301473445,0.685799652443225,0.404180273172594,0.863787642050361,0.639766948781322,0.645401646568993,0.486551758145052
"Narrativity_Staging.z.frec",0.685379714064454,0.895656326009408,0.532443325091103,0.0746705291776931,0.786198665929547,1,0.558259920640694,0.0752871887166269,0.674165442183037,0.91263061149576,0.490802969430687,0.0419294511839581,0.66862280613036,0.824093286728337,0.461130749492332,0.0792507812409055
"Narrativity_PlotProg.z.frec",0.689209291241254,0.535302119673251,0.900368820032209,0.0688441332706643,0.789758946655497,0.558259920640694,1,0.0755526051648751,0.641766646804502,0.541634372357733,0.830052418948595,0.0366717505467218,0.675625403095741,0.474799121633018,0.825883595559659,0.075203673059694
"Narrativity_CogTension.z.frec",0.530300376264125,0.105653567690051,0.0966657696161509,0.888130663714249,0.525248617154358,0.0752871887166269,0.0755526051648751,1,0.506356996745476,0.0997916998213804,0.100522949206048,0.809631291987174,0.471901659855556,0.0281637786863742,0.0471803817482751,0.910609748694175
"Narrativity_Overall.lf.diff",0.980132152714606,0.766396774189873,0.745768232788295,0.591354071080743,0.865518416431585,0.674165442183037,0.641766646804502,0.506356996745476,1,0.762977537811866,0.754432993460507,0.593482262999831,0.674836909502452,0.484986301102541,0.445688290985366,0.455777722296954
"Narrativity_Staging.lf.diff",0.760686904231979,0.980709712859304,0.579623596473025,0.105628450089181,0.747245301473445,0.91263061149576,0.541634372357733,0.0997916998213804,0.762977537811866,1,0.554434745912363,0.0791341158720799,0.599065182624987,0.718709832775141,0.407994609682916,0.0964820016669573
"Narrativity_PlotProg.lf.diff",0.760466492946299,0.568239200612495,0.973077738615608,0.115421337404384,0.685799652443225,0.490802969430687,0.830052418948595,0.100522949206048,0.754432993460507,0.554434745912363,1,0.0995632379774432,0.494798264211814,0.336735460666945,0.579657986326568,0.0923451705434658
"Narrativity_CogTension.lf.diff",0.551668016745596,0.0921061959821864,0.0820207567112778,0.957456240145176,0.404180273172594,0.0419294511839581,0.0366717505467218,0.809631291987174,0.593482262999831,0.0791341158720799,0.0995632379774432,1,0.333813964014939,-0.0141685403218205,-0.00713208060584364,0.720924051495028
"Narrativity_Overall.lf.frech",0.737207313085566,0.578499461368489,0.587415034206873,0.418235483480919,0.863787642050361,0.66862280613036,0.675625403095741,0.471901659855556,0.674836909502452,0.599065182624987,0.494798264211814,0.333813964014939,1,0.758634929608987,0.768660525300618,0.522657701982484
"Narrativity_Staging.lf.frech",0.506288326597557,0.684472412953785,0.408421419111899,0.0202055247773112,0.639766948781322,0.824093286728337,0.474799121633018,0.0281637786863742,0.484986301102541,0.718709832775141,0.336735460666945,-0.0141685403218205,0.758634929608987,1,0.509671467014636,0.0373169988366351
"Narrativity_PlotProg.lf.frech",0.512978188074707,0.397419326741696,0.696665785471519,0.0274491067536114,0.645401646568993,0.461130749492332,0.825883595559659,0.0471803817482751,0.445688290985366,0.407994609682916,0.579657986326568,-0.00713208060584364,0.768660525300618,0.509671467014636,1,0.0544575627245392
"Narrativity_CogTension.lf.frech",0.495056398008805,0.0994291045541124,0.091973053983709,0.826763260486933,0.486551758145052,0.0792507812409055,0.075203673059694,0.910609748694175,0.455777722296954,0.0964820016669573,0.0923451705434658,0.720924051495028,0.522657701982484,0.0373169988366351,0.0544575627245392,1
