"","Narrativity_Overall.z.diff","Narrativity_Staging.z.diff","Narrativity_PlotProg.z.diff","Narrativity_CogTension.z.diff","Narrativity_Overall.z.frec","Narrativity_Staging.z.frec","Narrativity_PlotProg.z.frec","Narrativity_CogTension.z.frec","Narrativity_Overall.lf.diff","Narrativity_Staging.lf.diff","Narrativity_PlotProg.lf.diff","Narrativity_CogTension.lf.diff","Narrativity_Overall.lf.frech","Narrativity_Staging.lf.frech","Narrativity_PlotProg.lf.frech","Narrativity_CogTension.lf.frech"
"Narrativity_Overall.z.diff",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_Staging.z.diff",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_PlotProg.z.diff",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_CogTension.z.diff",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_Overall.z.frec",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_Staging.z.frec",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_PlotProg.z.frec",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_CogTension.z.frec",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_Overall.lf.diff",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_Staging.lf.diff",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_PlotProg.lf.diff",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_CogTension.lf.diff",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_Overall.lf.frech",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_Staging.lf.frech",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_PlotProg.lf.frech",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
"Narrativity_CogTension.lf.frech",2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641
